molecule_chembl_id,pchembl_value,target_chembl_id,value,canonical_smiles
CHEMBL205410,6.5,CHEMBL4282,320.0,N#Cc1cccc(C[C@H](N)COc2cncc(/C=C/c3ccncc3)c2)c1
CHEMBL203685,6.06,CHEMBL4282,875.0,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1cccc(O)c1
CHEMBL206236,5.39,CHEMBL4282,4040.0,N[C@@H](COCc1ccccc1)COc1cncc(/C=C/c2ccncc2)c1
CHEMBL381829,5.1,CHEMBL4282,8020.0,N[C@@H](CCc1ccccc1)COc1cncc(/C=C/c2ccncc2)c1
CHEMBL203434,5.17,CHEMBL4282,6760.0,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)C(c1ccccc1)c1ccccc1
CHEMBL203673,6.16,CHEMBL4282,690.0,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1ccccc1
CHEMBL205645,4.62,CHEMBL4282,23910.0,C(=C/c1cncc(OC[C@@H]2CCCN2)c1)\c1ccncc1
CHEMBL204213,4.96,CHEMBL4282,10870.0,C(=C/c1cncc(OC[C@@H]2CCN2)c1)\c1ccncc1
CHEMBL204059,4.71,CHEMBL4282,19320.0,CC(C)[C@H](N)COc1cncc(/C=C/c2ccncc2)c1
CHEMBL205820,4.83,CHEMBL4282,14710.0,NCCCOc1cncc(/C=C/c2ccncc2)c1
CHEMBL206382,5.29,CHEMBL4282,5080.0,NCCOc1cncc(/C=C/c2ccncc2)c1
CHEMBL381187,7.58,CHEMBL4282,26.0,N[C@@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL383264,8.89,CHEMBL4282,1.3,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
CHEMBL207496,6.72,CHEMBL4282,190.0,N[C@H](COc1cncc2nc(-c3ccncc3)ccc12)Cc1c[nH]c2ccccc12
CHEMBL205994,6.57,CHEMBL4282,270.0,N[C@H](CNc1cncc(Nc2cccc3cnccc23)c1)Cc1c[nH]c2ccccc12
CHEMBL206732,6.68,CHEMBL4282,210.0,N[C@H](CNc1cncc(Oc2cccc3cnccc23)c1)Cc1c[nH]c2ccccc12
CHEMBL205324,5.15,CHEMBL4282,7090.0,N[C@H](COc1cnc2ccc(-c3cccnc3)cc2c1)Cc1c[nH]c2ccccc12
CHEMBL206819,6.52,CHEMBL4282,300.0,N[C@H](COc1cnc2ccc(-c3ccncc3)cc2c1)Cc1c[nH]c2ccccc12
CHEMBL205781,5.66,CHEMBL4282,2170.0,NC(=O)c1cccc2c(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cccc12
CHEMBL439340,5.84,CHEMBL4282,1450.0,Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1C(=O)c1cccc(Cl)c1
CHEMBL380542,5.21,CHEMBL4282,6230.0,N[C@H](COc1cncc(-c2cccc(Nc3nccs3)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL202972,5.43,CHEMBL4282,3670.0,N[C@H](COc1cncc(-c2cccc(Nc3ncccn3)c2)c1)Cc1c[nH]c2ccccc12
CHEMBL207031,4.84,CHEMBL4282,14330.0,N[C@H](COc1cncc(-c2ccc(Nc3ncccn3)cc2)c1)Cc1c[nH]c2ccccc12
CHEMBL208406,5.57,CHEMBL4282,2710.0,Nc1nccc(Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc2)n1
CHEMBL378589,5.95,CHEMBL4282,1120.0,N[C@H](COc1cncc(-c2ccc(NC(=O)Nc3ccccc3)nc2)c1)Cc1c[nH]c2ccccc12
CHEMBL206581,4.48,CHEMBL4282,33160.0,N[C@H](COc1cncc(-c2ccc(-c3nn[nH]n3)cc2)c1)Cc1c[nH]c2ccccc12
CHEMBL383702,4.48,CHEMBL4282,33010.0,CS(=O)(=O)Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1
CHEMBL205422,4.92,CHEMBL4282,12030.0,CC(=O)Nc1cccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)c1
CHEMBL381785,6.64,CHEMBL4282,227.0,CC(=O)Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1
CHEMBL206746,5.86,CHEMBL4282,1390.0,NC(=O)Cc1cccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)c1
CHEMBL426126,5.03,CHEMBL4282,9310.0,NC(=O)c1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1
CHEMBL204892,4.5,CHEMBL4282,31280.0,N[C@H](COc1cncc(-c2ccc(C(=O)O)cc2)c1)Cc1c[nH]c2ccccc12
CHEMBL206179,5.16,CHEMBL4282,6940.0,Nc1ccc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc1
